"name","taxID","taxRank","taxLineage","Freq","cladeReads_mean","cladeReads_max","bracken_reads_mean","bracken_reads_max","RiskGroup","HOMD","HOMD.Category"
"Gemella sanguinis",84135,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Bacillales|f_Gemellaceae|g_Gemella|s_Gemella sanguinis",9,114288.133333333,1137955,179896.3125,1729475,"RG2","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Sphingobium amiense",135719,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingobium|s_Sphingobium amiense",9,1127.18181818182,5087,2132.33333333333,9466,"NotAnnotated","NotAnnotated","NotAnnotated"
"Sphingobium xenophagum",121428,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingobium|s_Sphingobium xenophagum",9,3036,16811,4450.91666666667,24517,"RG1","NotAnnotated","NotAnnotated"
"Cupriavidus metallidurans",119219,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Cupriavidus|s_Cupriavidus metallidurans",8,98132.5555555556,656525,133555.3,801249,"RG1","NotAnnotated","NotAnnotated"
"Veillonella atypica",39777,"S","r_root|k_Bacillati|p_Bacillota|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_Veillonella atypica",8,293441.4,3215362,402568.666666667,4293321,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Acinetobacter bereziniae",106648,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter bereziniae",7,33577.8333333333,92862,92376.875,296728,"RG1","NotAnnotated","NotAnnotated"
"Bradyrhizobium sp. BTAi1",288000,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Bradyrhizobium|s_Bradyrhizobium sp. BTAi1",7,88636.0909090909,281768,77812,319657,"NotAnnotated","NotAnnotated","NotAnnotated"
"Elizabethkingia anophelis",1117645,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Elizabethkingia|s_Elizabethkingia anophelis",7,2539,21647,7076.22222222222,56332,"RG1","NotAnnotated","NotAnnotated"
"Salmonella enterica",28901,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Salmonella|s_Salmonella enterica",7,1479.86666666667,12792,281837.125,2221943,"RG2","NotAnnotated","NotAnnotated"
"Sphingomonas sp. AAP5",1523415,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_Sphingomonas sp. AAP5",7,600,3034,597.666666666667,3496,"NotAnnotated","NotAnnotated","NotAnnotated"
"Campylobacter concisus",199,"S","r_root|k_Pseudomonadati|p_Campylobacterota|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter concisus",6,95927.0769230769,916128,134010.5,1191000,"RG2","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Sphingomonas aliaeris",2759526,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_Sphingomonas aliaeris",6,632.272727272727,3262,603.416666666667,3366,"NotAnnotated","NotAnnotated","NotAnnotated"
"Staphylococcus epidermidis",1282,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Bacillales|f_Staphylococcaceae|g_Staphylococcus|s_Staphylococcus epidermidis",6,94.2307692307692,317,427.352941176471,2323,"RG1","Skin (Abundance: High) | Nasal (Abundance: High)","Microbiome"
"Stutzerimonas stutzeri",316,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Stutzerimonas|s_Stutzerimonas stutzeri",6,226.266666666667,1303,723.111111111111,2976,"RG1","Environmental -Soil/Water (Abundance: Scarce) | Unassigned","Microbiome"
"Veillonella rogosae",423477,"S","r_root|k_Bacillati|p_Bacillota|c_Negativicutes|o_Veillonellales|f_Veillonellaceae|g_Veillonella|s_Veillonella rogosae",6,37094.8333333333,206012,51180.4736842105,440801,"NotAnnotated","Oral (Abundance: High) | Unassigned","Microbiome"
"Bradyrhizobium betae",244734,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Bradyrhizobium|s_Bradyrhizobium betae",5,1093,2561,3420.42857142857,7660,"NotAnnotated","NotAnnotated","NotAnnotated"
"Bradyrhizobium oligotrophicum",44255,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Bradyrhizobium|s_Bradyrhizobium oligotrophicum",5,554.833333333333,1111,611,1243,"RG1","NotAnnotated","NotAnnotated"
"Granulicatella adiacens",46124,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Granulicatella|s_Granulicatella adiacens",5,32738.5555555556,210300,29277.7333333333,272082,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Leptotrichia sp. oral taxon 212",712357,"S","r_root|k_Fusobacteriati|p_Fusobacteriota|c_Fusobacteriia|o_Fusobacteriales|f_Leptotrichiaceae|g_Leptotrichia|s_Leptotrichia sp. oral taxon 212",5,58547.7777777778,235369,51900.125,411076,"NotAnnotated","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Pseudoxanthomonas japonensis",69284,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Lysobacterales|f_Lysobacteraceae|g_Pseudoxanthomonas|s_Pseudoxanthomonas japonensis",5,39663,143567,160476.625,777365,"NotAnnotated","NotAnnotated","NotAnnotated"
"Cutibacterium modestum",2559073,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium|s_Cutibacterium modestum",4,75.5833333333333,227,170.142857142857,1019,"RG1","NotAnnotated","NotAnnotated"
"Haemophilus parainfluenzae",729,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pasteurellales|f_Pasteurellaceae|g_Haemophilus|s_Haemophilus parainfluenzae",4,21919,197671,32052.9375,346378,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Lachnoanaerobaculum gingivalis",2490855,"S","r_root|k_Bacillati|p_Bacillota|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Lachnoanaerobaculum|s_Lachnoanaerobaculum gingivalis",4,152486.833333333,660148,142168.857142857,1320769,"NotAnnotated","NotAnnotated","NotAnnotated"
"Novosphingobium olei",2728851,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Novosphingobium|s_Novosphingobium olei",4,610,2112,504.909090909091,2288,"NotAnnotated","NotAnnotated","NotAnnotated"
"Parvimonas micra",33033,"S","r_root|k_Bacillati|p_Bacillota|c_Tissierellia|o_Tissierellales|f_Peptoniphilaceae|g_Parvimonas|s_Parvimonas micra",4,113191.25,298250,107126.444444444,507516,"RG2","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Prevotella melaninogenica",28132,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella melaninogenica",4,48557.3333333333,418099,72454.9333333333,715497,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Selenomonas sputigena",69823,"S","r_root|k_Bacillati|p_Bacillota|c_Negativicutes|o_Selenomonadales|f_Selenomonadaceae|g_Selenomonas|s_Selenomonas sputigena",4,167271,565084,159022,664617,"RG2","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Shigella flexneri",623,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Shigella|s_Shigella flexneri",4,6589.75,19353,208748,1459747,"RG2","NotAnnotated","NotAnnotated"
"Solobacterium moorei",102148,"S","r_root|k_Bacillati|p_Bacillota|c_Erysipelotrichia|o_Erysipelotrichales|f_Erysipelotrichaceae|g_Solobacterium|s_Solobacterium moorei",4,460470.5,1511178,306819.363636364,2490467,"NotAnnotated","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Sphingopyxis macrogoltabida",33050,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingopyxis|s_Sphingopyxis macrogoltabida",4,453.888888888889,1690,587.9,2123,"RG1","NotAnnotated","NotAnnotated"
"Stomatobaculum sp. F0698",3059030,"S","r_root|k_Bacillati|p_Bacillota|c_Clostridia|o_Lachnospirales|f_Lachnospiraceae|g_Stomatobaculum|s_Stomatobaculum sp. F0698",4,128969.166666667,678342,129522.222222222,992752,"NotAnnotated","NotAnnotated","NotAnnotated"
"Streptococcus parasanguinis",1318,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus parasanguinis",4,57694.7142857143,321056,106162.272727273,818674,"RG2","Oral (Abundance: Scarce) | Unassigned","Microbiome"
"Bacillus cereus",1396,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus|s_Bacillus cereus",3,4784.33333333333,18402,161889.823529412,2043527,"NotAnnotated","NotAnnotated","NotAnnotated"
"Brevundimonas diminuta",293,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Caulobacterales|f_Caulobacteraceae|g_Brevundimonas|s_Brevundimonas diminuta",3,12299,28275,25311.8,107808,"RG2","Environmental -Soil/Water (Abundance: Scarce) | Opportunistic Pathogen (Abundance: Scarce)","Opportunist"
"Capnocytophaga gingivalis",1017,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Capnocytophaga gingivalis",3,24430.125,113388,35418.75,182630,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Escherichia albertii",208962,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Escherichia|s_Escherichia albertii",3,2513.66666666667,9710,3703.3,19791,"RG2","NotAnnotated","NotAnnotated"
"Methylobacterium aquaticum",270351,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Methylobacteriaceae|g_Methylobacterium|s_Methylobacterium aquaticum",3,1799.25,2691,4552.75,6760,"RG1","NotAnnotated","NotAnnotated"
"Methylobacterium currus",2051553,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Methylobacteriaceae|g_Methylobacterium|s_Methylobacterium currus",3,3068.25,4712,5417.6,10395,"NotAnnotated","NotAnnotated","NotAnnotated"
"Methylobacterium indicum",1775910,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Methylobacteriaceae|g_Methylobacterium|s_Methylobacterium indicum",3,885,1358,2290.5,3508,"NotAnnotated","NotAnnotated","NotAnnotated"
"Methylobacterium sp. 17Sr1-1",2202826,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Methylobacteriaceae|g_Methylobacterium|s_Methylobacterium sp. 17Sr1-1",3,800.75,1129,1891.5,2690,"NotAnnotated","NotAnnotated","NotAnnotated"
"Methylobacterium terrae",2202827,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Methylobacteriaceae|g_Methylobacterium|s_Methylobacterium terrae",3,1241.25,1831,2875.75,4279,"NotAnnotated","NotAnnotated","NotAnnotated"
"Methylorubrum populi",223967,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Methylobacteriaceae|g_Methylorubrum|s_Methylorubrum populi",3,1025.4,2526,1821.83333333333,5310,"RG1","NotAnnotated","NotAnnotated"
"Pseudomonas aeruginosa",287,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_Pseudomonas aeruginosa",3,17967.8,79866,169048.375,1110858,"RG2","Opportunistic Pathogen (Abundance: Scarce) | Unassigned","Opportunist"
"Pseudoxanthomonas mexicana",128785,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Lysobacterales|f_Lysobacteraceae|g_Pseudoxanthomonas|s_Pseudoxanthomonas mexicana",3,8211.83333333333,29054,80223.3333333333,284696,"NotAnnotated","NotAnnotated","NotAnnotated"
"Sphingomonas parapaucimobilis",28213,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Sphingomonadales|f_Sphingomonadaceae|g_Sphingomonas|s_Sphingomonas parapaucimobilis",3,403.125,1512,337.181818181818,1637,"RG2","NotAnnotated","NotAnnotated"
"Staphylococcus aureus",1280,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Bacillales|f_Staphylococcaceae|g_Staphylococcus|s_Staphylococcus aureus",3,223765.111111111,1965875,1023553.44444444,7503034,"RG2","Nasal (Abundance: High) | Unassigned","Microbiome"
"Acinetobacter sp. Tol 5",710648,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter sp. Tol 5",2,3826,5930,41361,54695,"NotAnnotated","NotAnnotated","NotAnnotated"
"Campylobacter showae",204,"S","r_root|k_Pseudomonadati|p_Campylobacterota|c_Epsilonproteobacteria|o_Campylobacterales|f_Campylobacteraceae|g_Campylobacter|s_Campylobacter showae",2,70011,132228,72524,298957,"RG2","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Corynebacterium accolens",38284,"S","r_root|k_Bacillati|p_Actinomycetota|c_Actinomycetes|o_Mycobacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_Corynebacterium accolens",2,87.6666666666667,162,379.25,911,"RG2","Nasal (Abundance: High) | Unassigned","Microbiome"
"Cupriavidus pauculus",82633,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Cupriavidus|s_Cupriavidus pauculus",2,378178.25,1512089,922461.5,3688678,"RG2","NotAnnotated","NotAnnotated"
"Cupriavidus sp. U2",2920269,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Burkholderiaceae|g_Cupriavidus|s_Cupriavidus sp. U2",2,4049,8249,47166.3333333333,132167,"NotAnnotated","NotAnnotated","NotAnnotated"
"Delftia tsuruhatensis",180282,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Comamonadaceae|g_Delftia|s_Delftia tsuruhatensis",2,3684.33333333333,6153,25264.6666666667,71620,"NotAnnotated","NotAnnotated","NotAnnotated"
"Dolosigranulum pigrum",29394,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Carnobacteriaceae|g_Dolosigranulum|s_Dolosigranulum pigrum",2,1851.33333333333,5343,1781,11670,"RG2","Nasal (Abundance: Medium) | Unassigned","Microbiome"
"Escherichia fergusonii",564,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Enterobacterales|f_Enterobacteriaceae|g_Escherichia|s_Escherichia fergusonii",2,1957.66666666667,4593,2925.22222222222,15168,"RG2","NotAnnotated","NotAnnotated"
"Fusobacterium periodonticum",860,"S","r_root|k_Fusobacteriati|p_Fusobacteriota|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium periodonticum",2,114098.75,253804,385467.272727273,2198450,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Fusobacterium polymorphum",76857,"S","r_root|k_Fusobacteriati|p_Fusobacteriota|c_Fusobacteriia|o_Fusobacteriales|f_Fusobacteriaceae|g_Fusobacterium|s_Fusobacterium polymorphum",2,74652.75,425564,212163.818181818,1598407,"RG2","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Pseudomonas fluorescens",294,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Pseudomonadales|f_Pseudomonadaceae|g_Pseudomonas|s_Pseudomonas fluorescens",2,5312.25,20752,12223,59650,"RG1","Human-Associated, Primary Site Uncertain (Abundance: Low) | Unassigned","Microbiome"
"Pseudoxanthomonas sp. SE1",1664560,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Lysobacterales|f_Lysobacteraceae|g_Pseudoxanthomonas|s_Pseudoxanthomonas sp. SE1",2,4873.16666666667,17456,15953.3333333333,57451,"NotAnnotated","NotAnnotated","NotAnnotated"
"Pseudoxanthomonas sp. SL93",2995142,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Lysobacterales|f_Lysobacteraceae|g_Pseudoxanthomonas|s_Pseudoxanthomonas sp. SL93",2,1575.5,5686,3519.33333333333,12733,"NotAnnotated","NotAnnotated","NotAnnotated"
"Pseudoxanthomonas suwonensis",314722,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Lysobacterales|f_Lysobacteraceae|g_Pseudoxanthomonas|s_Pseudoxanthomonas suwonensis",2,337,437,774,1005,"NotAnnotated","NotAnnotated","NotAnnotated"
"Stenotrophomonas acidaminiphila",128780,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Lysobacterales|f_Lysobacteraceae|g_Stenotrophomonas|s_Stenotrophomonas acidaminiphila",2,876.285714285714,3145,9804.14285714286,37864,"NotAnnotated","NotAnnotated","NotAnnotated"
"Stenotrophomonas maltophilia",40324,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Lysobacterales|f_Lysobacteraceae|g_Stenotrophomonas|s_Stenotrophomonas maltophilia",2,532.25,2375,23109.8,315595,"RG2","Opportunistic Pathogen (Abundance: Scarce) | Unassigned","Opportunist"
"Streptococcus infantis",68892,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus infantis",2,129185,481758,82734.6,741861,"RG2","Oral (Abundance: High) | Unassigned","Microbiome"
"Streptococcus salivarius",1304,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus salivarius",2,50059.75,165267,87805.8333333333,763582,"RG1","Oral (Abundance: High) | Unassigned","Microbiome"
"Streptococcus sp. oral taxon 061",712623,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus sp. oral taxon 061",2,59233.4,259340,77944.1428571429,444373,"NotAnnotated","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Streptococcus sp. oral taxon 431",712633,"S","r_root|k_Bacillati|p_Bacillota|c_Bacilli|o_Lactobacillales|f_Streptococcaceae|g_Streptococcus|s_Streptococcus sp. oral taxon 431",2,78841.5,306182,85662,652360,"NotAnnotated","Oral (Abundance: High) | Unassigned","Microbiome"
"Tannerella serpentiformis",712710,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Tannerella|s_Tannerella serpentiformis",2,76444.3333333333,202671,28439.6666666667,224205,"NotAnnotated","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Xanthomonas perforans",442694,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Lysobacterales|f_Lysobacteraceae|g_Xanthomonas|s_Xanthomonas perforans",2,1631.33333333333,5620,37664.3333333333,127973,"NotAnnotated","NotAnnotated","NotAnnotated"
"Achromobacter xylosoxidans",85698,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Betaproteobacteria|o_Burkholderiales|f_Alcaligenaceae|g_Achromobacter|s_Achromobacter xylosoxidans",1,1656,2780,50431,147056,"RG2","Environmental -Soil/Water (Abundance: Scarce) | Opportunistic Pathogen (Abundance: No data)","Opportunist"
"Acinetobacter baumannii",470,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter baumannii",1,1002.33333333333,2172,10638.8571428571,35372,"RG2","Opportunistic Pathogen (Abundance: Scarce) | Unassigned","Opportunist"
"Acinetobacter haemolyticus",29430,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Gammaproteobacteria|o_Moraxellales|f_Moraxellaceae|g_Acinetobacter|s_Acinetobacter haemolyticus",1,306,521,399.666666666667,928,"RG1","NotAnnotated","NotAnnotated"
"Agrobacterium tumefaciens",358,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Rhizobiaceae|g_Agrobacterium|s_Agrobacterium tumefaciens",1,5854,5854,45270.5,90462,"RG1","Environmental -Soil/Water (Abundance: Scarce) | Unassigned","Microbiome"
"Bradyrhizobium sp. ORS 285",115808,"S","r_root|k_Pseudomonadati|p_Pseudomonadota|c_Alphaproteobacteria|o_Hyphomicrobiales|f_Nitrobacteraceae|g_Bradyrhizobium|s_Bradyrhizobium sp. ORS 285",1,328.666666666667,617,370.333333333333,709,"NotAnnotated","NotAnnotated","NotAnnotated"
"Capnocytophaga granulosa",45242,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Capnocytophaga granulosa",1,27946,60703,25375.25,71534,"RG2","Oral (Abundance: Medium) | Unassigned","Microbiome"
"Capnocytophaga leadbetteri",327575,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Flavobacteriaceae|g_Capnocytophaga|s_Capnocytophaga leadbetteri",1,29697,47013,65456.2857142857,257414,"NotAnnotated","Oral (Abundance: High) | Unassigned","Microbiome"
"Chryseobacterium indologenes",253,"S","r_root|k_Pseudomonadati|p_Bacteroidota|c_Flavobacteriia|o_Flavobacteriales|f_Weeksellaceae|g_Chryseobacterium|s_Chryseobacterium indologenes",1,102080.5,408235,121811.8,607406,"RG2","NotAnnotated","NotAnnotated"
